CUSTNAME,GenderCode,ADDRESS1,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,ADDRESS2,EMAIL_ADDRESS,PHONE_NUMBER,CREDITCARD_TYPE,LOCALITY,SALESMAN_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,DRIVER_LICENSE,CUST_ID,ORDER_ID,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE,AGE,ORDER_VALUE,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Campi Sal,Campi Paisa,Campi Light,Olivetto suave,Olivetto intenso,Olivetto oliva,Gourmet aguacate,Gourmet coco,Gourmet oliva,Gourmet familia
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4621021037561765,,10015,8633,2016-08-31 00:00:00.000,2016-08-31 19:17:24.586,11.150.000,NC100 ,2016-09-10 00:00:00.000,20/08/2016,60,49.94,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,1,,1,0,0,0,1,0,0,1
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6011480880015118,,10019,792,2016-01-03 00:00:00.000,2016-01-03 15:47:56.370,9.220.000,SC259 ,2016-02-10 00:00:00.000,20/02/2016,53,28.35,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,"6,01153E+15",,10019,1257,2016-08-23 00:00:00.000,2016-08-23 22:47:24.586,13.330.000,SC193 ,2016-09-10 00:00:00.000,20/08/2016,53,29.82,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6011082045246461,,10019,2488,2016-01-08 00:00:00.000,2016-01-08 03:13:54.564,2.870.000,SW277 ,2016-02-20 00:00:00.000,27/03/2016,53,14.36,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6011111315109636,,10019,2836,2016-06-23 00:00:00.000,2016-06-23 15:29:06.250,6.050.000,NC298 ,2016-07-15 00:00:00.000,27/07/2016,53,09.06,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,"6,01194E+15",,10019,5456,2016-02-09 00:00:00.000,2016-02-09 18:50:44.886,23.370.000,RP253 ,2016-02-28 00:00:00.000,10/03/2016,53,36.5,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4172783088440537,,10027,139,2016-11-08 00:00:00.000,2016-11-08 21:33:44.806,24.080.000,NW184 ,2016-12-10 00:00:00.000,20/12/2016,32,10.11,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4235920143425534,,10027,831,2016-10-07 00:00:00.000,2016-10-07 21:33:59.456,7.020.000,SE265 ,2016-11-20 00:00:00.000,25/11/2016,32,42.16,Cancelled,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,1,0,0,0,0
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4988188313693914,,10027,6961,2016-06-26 00:00:00.000,2016-06-26 15:29:06.250,11.450.000,NC358 ,2016-07-13 00:00:00.000,23/07/2016,32,48.35,Abandoned,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4644860390568963,,10027,8622,2016-10-26 00:00:00.000,2016-10-26 20:07:39.380,9.510.000,SC256 ,2016-11-10 00:00:00.000,14/11/2016,32,5.1,In-Progress,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
John Hoffman        ,Mr.,1660 Lighthouse Drive,Akron,OH,US,44311,0,,John.D.Hoffman@trashymail.com,608-822-4333,American Express,,SW274 ,IT,RGQKFP86T41C178Z,377308122829636,,10031,1369,2016-12-25 00:00:00.000,2016-12-25 09:32:50.756,21.970.000,NW247 ,2016-01-09 00:00:00.000,15/01/2016,46,24.66,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Muriel Exley        ,Mrs.,2645 Kooter Lane,Alba Di Canazei,TN,IT,38030,0,,Muriel.J.Exley@trashymail.com,0326 8920950,Discover,,SW412 ,FR,2.67E+14,6011995595352928,,10035,5328,2016-03-08 00:00:00.000,2016-03-08 20:32:45.246,33.850.000,NE304 ,2016-06-08 00:00:00.000,15/07/2016,46,49.16,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5155198467940809,,10039,421,2016-11-18 00:00:00.000,2016-11-18 21:33:44.806,22.770.000,NE367 ,2016-12-10 00:00:00.000,20/12/2016,72,224.71,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,"5,17976E+15",,10039,5317,2016-11-11 00:00:00.000,2016-11-11 01:34:16.564,5.850.000,NW115 ,2016-12-08 00:00:00.000,19/12/2016,72,235.6,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5128946019900448,,10039,5855,2016-04-02 00:00:00.000,2016-04-02 16:33:44.886,17.200.000,NW112 ,2016-04-28 00:00:00.000,30/05/2016,72,164.54,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1
Calvin Shupe        ,Mr.,3335 Willow Oaks Lane,Albosaggia,SO,IT,23100,0,,Calvin.M.Shupe@spambob.com,0331 4473271,VISA,,NE373 ,IT,RHFGBS20R46E848A,4308565230784723,,10047,529,2016-05-19 00:00:00.000,2016-05-19 20:47:39.380,9.000.000,SC388 ,2016-06-02 00:00:00.000,15/06/2016,49,45.66,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,340583398243144,,10051,1352,2016-09-10 00:00:00.000,2016-09-10 20:27:55.556,13.330.000,SE271 ,2016-09-30 00:00:00.000,10/09/2016,47,18.99,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,378253687797158,,10051,3079,2016-08-17 00:00:00.000,2016-08-17 06:19:46.245,7.850.000,NW250 ,2016-11-21 00:00:00.000,03/12/2016,47,43.14,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,340232228300406,,10051,5296,2016-11-03 00:00:00.000,2016-11-03 08:44:16.564,48.520.000,NE178 ,2016-12-01 00:00:00.000,20/12/2016,47,27.45,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,345077092890169,,10051,5312,2016-05-12 00:00:00.000,2016-05-12 20:07:36.370,17.600.000,NC424 ,2016-06-20 00:00:00.000,01/07/2016,47,27.45,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,377264073849210,,10051,6481,2016-04-02 00:00:00.000,2016-04-02 23:32:45.116,17.870.000,RP190 ,2016-05-21 00:00:00.000,15/06/2016,47,28.6,Cancelled,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,374979775116914,,10051,6487,2016-11-12 00:00:00.000,2016-11-12 17:43:54.564,17.870.000,NW181 ,2016-11-30 00:00:00.000,12/12/2016,47,42.24,Complete,Phone,Occasional,LowValue,Gen_X,0,1,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,343229723648727,,10051,7945,2016-04-10 00:00:00.000,2016-04-10 22:47:52.556,21.970.000,NE241 ,2016-04-22 00:00:00.000,25/04/2016,47,08.04,In-Progress,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,36049994698780,,10055,925,2016-04-07 00:00:00.000,2016-04-07 08:47:52.556,19.250.000,WE157 ,2016-04-22 00:00:00.000,25/04/2016,24,32.11,In-Progress,Phone,FirstTime,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,36424931997043,,10055,1282,2016-04-07 00:00:00.000,2016-04-07 08:47:52.556,23.370.000,WE157 ,2016-04-22 00:00:00.000,25/04/2016,24,223.31,Complete,Phone,FirstTime,HighValue,Gen_Y,0,0,0,0,0,0,0,0,0,1
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,36295252230358,,10055,4950,2016-09-25 00:00:00.000,2016-09-25 16:43:54.564,18.450.000,NE103 ,2016-10-20 00:00:00.000,27/10/2016,24,129.77,Complete,Phone,FirstTime,MediumValue,Gen_Y,1,0,1,0,0,0,0,0,0,0
Cecil Games         ,Mr.,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,,WE421 ,FR,2.10E+14,4621255215693871,,10059,1985,2016-03-04 00:00:00.000,2016-03-04 02:25:36.564,21.970.000,WE415 ,2016-03-20 00:00:00.000,30/03/2016,age-32,5.91,In-Progress,Phone,FirstTime,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0
Cecil Games         ,Mr.,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,,WE421 ,FR,2.10E+14,4699076177187844,,10059,3363,2016-11-25 00:00:00.000,2016-11-25 16:23:44.806,68.570.000,NW244 ,2016-12-07 00:00:00.000,15/12/2016,age-32,173.62,Complete,Phone,FirstTime,HighValue,Gen_Z,1,0,0,0,0,0,0,0,0,1
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,36139382128902,,10063,564,2016-05-01 00:00:00.000,2016-05-01 16:58:44.886,7.120.000,SW343 ,2016-05-20 00:00:00.000,30/05/2016,65,198.38,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,0,1,0,1,0,0,1,0,1,1
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,36254099813181,,10063,1506,2016-08-19 00:00:00.000,2016-08-19 01:34:16.564,22.770.000,SE403 ,2016-08-29 00:00:00.000,09/09/2016,65,242.23,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,1,1,0,0,0,0,0,1,1
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,36237405388980,,10063,3586,2016-11-11 00:00:00.000,2016-11-11 01:34:16.564,11.450.000,NW115 ,2016-12-08 00:00:00.000,19/12/2016,65,270.16,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1
Amy Randle          ,Mrs.,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,,NC292 ,U.S.,515250001,4594159694896323,,10067,1042,2016-09-19 00:00:00.000,2016-09-19 19:57:35.556,27.990.000,SE334 ,2016-09-30 00:00:00.000,10/09/2016,28,57.87,Cancelled,Phone,Frequent,MediumValue,Gen_Y,0,1,0,0,0,1,0,0,0,0
Amy Randle          ,Mrs.,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,,NC292 ,U.S.,515250001,4630677078280752,,10067,1239,2016-08-13 00:00:00.000,2016-08-13 11:29:06.250,7.850.000,SE208 ,2016-12-21 00:00:00.000,03/01/2016,28,9999999.0,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3528924283468617,,10075,670,2016-01-20 00:00:00.000,2016-01-20 22:39:06.250,11.850.000,SC130 ,2016-02-10 00:00:00.000,27/02/2016,73,142.54,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,0,0,0,1,0,0,0,1,0,0
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3528684753010758,,10075,2231,2016-11-11 00:00:00.000,2016-11-11 21:47:56.370,9.000.000,WE220 ,2016-12-16 00:00:00.000,25/12/2016,73,197.81,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3528160828090349,,10075,9068,2016-02-06 00:00:00.000,2016-02-06 13:07:36.370,16.270.000,NW379 ,2016-02-20 00:00:00.000,01/03/2016,73,179.38,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1
Earl Bruner         ,Mr.,3155 Single Street,Alma,QC,CA,G8B 2W5,0,,Earl.M.Bruner@pookmail.com,613-353-4540,American Express,,NE172 ,ES,5873675G,377232558412092,,10079,3545,2016-03-31 00:00:00.000,2016-03-31 18:57:39.380,6.370.000,SW142 ,2016-04-20 00:00:00.000,30/04/2016,19,20.37,Complete,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0
Linda Garcia        ,Mrs.,2306 Thrash Trail,Alpo,VR,IT,37060,0,,Linda.J.Garcia@mailinator.com,0317 2702530,JCB,,SE268 ,U.S.,22868164,3528897866448182,,10083,1728,2016-11-13 00:00:00.000,2016-11-13 21:59:36.250,17.870.000,SC199 ,2016-12-19 00:00:00.000,27/12/2016,40,9999999.0,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,1,0,0,0
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,,SC322 ,IT,FHGPMO74D11L254L,343640251981299,,10091,3359,2016-11-13 00:00:00.000,2016-11-13 21:59:36.250,68.570.000,SC199 ,2016-12-19 00:00:00.000,27/12/2016,40,24.08,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,,SC322 ,IT,FHGPMO74D11L254L,374896502714142,,10091,6717,2016-01-24 00:00:00.000,2016-01-24 23:13:54.564,13.250.000,SE400 ,2016-02-26 00:00:00.000,07/03/2016,40,5.2,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,,SC322 ,IT,FHGPMO74D11L254L,341828779666002,,10091,7265,2016-10-20 00:00:00.000,2016-10-20 20:07:39.380,7.450.000,WE286 ,2016-11-20 00:00:00.000,30/11/2016,40,35.16,In-Progress,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,36980252499638,,10095,2162,2016-01-20 00:00:00.000,2016-01-20 20:43:54.564,8.990.000,SW340 ,2016-02-10 00:00:00.000,27/02/2016,age-55,35.36,Cancelled,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,36944316245528,,10095,3305,2016-05-11 00:00:00.000,2016-05-11 21:27:55.556,33.990.000,SW217 ,2016-05-30 00:00:00.000,10/06/2016,age-55,24.92,Complete,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,36624151928079,,10095,3967,2016-11-17 00:00:00.000,2016-11-17 17:43:54.564,11.880.000,NW316 ,2016-11-30 00:00:00.000,12/12/2016,age-55,281.82,Complete,Phone,Frequent,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,1
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,36309237393452,,10095,4382,2016-06-26 00:00:00.000,2016-06-26 15:29:06.250,19.850.000,NC358 ,2016-07-13 00:00:00.000,23/07/2016,age-55,6.33,Cancelled,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,36522461444250,,10095,6009,2016-02-06 00:00:00.000,2016-02-06 13:07:36.370,18.990.000,NW379 ,2016-02-20 00:00:00.000,01/03/2016,age-55,97.72,Complete,Phone,Frequent,MediumValue,Gen_Z,0,1,1,0,0,0,0,1,1,0
Michael Gordon      ,Mr.,388 Kelly Drive,Ancona,AN,IT,60123,0,,Michael.S.Gordon@dodgeit.com,0373 6095994,Diners Club,,RP385 ,U.S.,316290001,36205115370861,,10099,5481,2016-05-11 00:00:00.000,2016-05-11 05:11:26.258,8.990.000,RP385 ,2016-06-25 00:00:00.000,20/06/2016,63,33.34,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,,WE151 ,IT,HCNFEA86A41E274E,377663338966364,,10103,2118,2016-09-25 00:00:00.000,2016-09-25 16:43:54.564,1.490.000,NE103 ,2016-10-20 00:00:00.000,27/10/2016,51,34.95,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,,WE151 ,IT,HCNFEA86A41E274E,371632433408075,,10103,3746,2016-05-11 00:00:00.000,2016-05-11 21:27:55.556,6.370.000,SW217 ,2016-05-30 00:00:00.000,10/06/2016,51,10.85,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0
